"ID";"Reason.for.absence";"Month.of.absence";"Day.of.the.week";"Seasons";"Transportation.expense";"Distance.from.Residence.to.Work";"Service.time";"Age";"Work.load.Average.day";"Hit.target";"Disciplinary.failure";"Education";"Son";"Social.drinker";"Social.smoker";"Pet";"Weight";"Height";"Body.mass.index";"ID.Worker";"Absenteeism"
"1";"1";26;7;3;1;289;36;13;33;239.554;97;0;1;2;1;0;1;90;172;30;11;FALSE
"2";"2";0;7;3;1;118;13;18;50;239.554;97;1;1;1;1;0;0;98;178;31;36;FALSE
"3";"3";23;7;4;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;FALSE
"4";"4";7;7;5;1;279;5;14;39;239.554;97;0;1;2;1;1;0;68;168;24;7;FALSE
"5";"5";23;7;5;1;289;36;13;33;239.554;97;0;1;2;1;0;1;90;172;30;11;FALSE
"7";"7";22;7;6;1;361;52;3;28;239.554;97;0;1;1;1;0;4;80;172;27;10;TRUE
"9";"9";19;7;2;1;155;12;14;34;239.554;97;0;1;2;1;0;0;95;196;25;14;TRUE
"10";"10";22;7;2;1;235;11;14;37;239.554;97;0;3;1;0;0;1;88;172;29;1;TRUE
"11";"11";1;7;2;1;260;50;11;36;239.554;97;0;1;4;1;0;0;65;168;23;20;TRUE
"12";"12";1;7;3;1;260;50;11;36;239.554;97;0;1;4;1;0;0;65;168;23;20;TRUE
"13";"13";11;7;4;1;260;50;11;36;239.554;97;0;1;4;1;0;0;65;168;23;20;TRUE
"14";"14";11;7;4;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;FALSE
"15";"15";23;7;4;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;FALSE
"18";"18";21;7;2;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;TRUE
"19";"19";11;7;5;1;189;29;13;33;239.554;97;0;1;2;0;0;2;69;167;25;6;TRUE
"20";"20";23;8;4;1;248;25;14;47;205.917;92;0;1;2;0;0;1;86;165;32;33;FALSE
"23";"23";13;8;2;1;361;52;3;28;205.917;92;0;1;1;1;0;4;80;172;27;10;TRUE
"24";"24";28;8;6;1;260;50;11;36;205.917;92;0;1;4;1;0;0;65;168;23;20;FALSE
"25";"25";18;8;2;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;TRUE
"26";"26";25;8;2;1;361;52;3;28;205.917;92;0;1;1;1;0;4;80;172;27;10;TRUE
"27";"27";23;8;3;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;FALSE
"28";"28";28;8;4;1;157;27;6;29;205.917;92;0;1;0;1;1;0;75;185;22;30;FALSE
"29";"29";18;8;4;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;TRUE
"30";"30";23;8;6;1;179;51;18;38;205.917;92;0;1;0;1;0;0;89;170;31;3;FALSE
"31";"31";18;8;2;1;179;51;18;38;205.917;92;0;1;0;1;0;0;89;170;31;3;TRUE
"32";"32";18;8;5;1;235;29;12;48;205.917;92;0;1;1;0;1;5;88;163;33;2;TRUE
"34";"34";18;8;2;1;235;29;12;48;205.917;92;0;1;1;0;1;5;88;163;33;2;TRUE
"36";"36";23;8;2;1;361;52;3;28;205.917;92;0;1;1;1;0;4;80;172;27;10;FALSE
"37";"37";24;8;3;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;TRUE
"38";"38";11;8;5;1;291;50;12;32;205.917;92;0;1;0;1;0;0;65;169;23;19;FALSE
"39";"39";28;8;6;1;235;29;12;48;205.917;92;0;1;1;0;1;5;88;163;33;2;TRUE
"40";"40";23;8;6;1;260;50;11;36;205.917;92;0;1;4;1;0;0;65;168;23;20;FALSE
"41";"41";23;9;3;1;184;42;7;27;241.476;92;0;1;0;0;0;0;58;167;21;27;FALSE
"42";"42";23;9;2;1;118;10;10;37;241.476;92;0;1;0;0;0;0;83;172;28;34;FALSE
"43";"43";23;9;3;1;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"45";"45";23;9;4;1;155;12;14;34;241.476;92;0;1;2;1;0;0;95;196;25;14;FALSE
"47";"47";23;9;3;1;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"50";"50";14;9;2;4;291;31;12;40;241.476;92;0;1;1;1;0;1;73;171;25;15;TRUE
"51";"51";0;9;2;4;260;50;11;36;241.476;92;1;1;4;1;0;0;65;168;23;20;FALSE
"52";"52";0;9;2;4;225;26;9;28;241.476;92;1;1;1;0;0;2;69;169;24;29;FALSE
"53";"53";23;9;3;4;225;26;9;28;241.476;92;0;1;1;0;0;2;69;169;24;28;FALSE
"54";"54";23;9;3;4;118;10;10;37;241.476;92;0;1;0;0;0;0;83;172;28;34;FALSE
"55";"55";0;9;3;4;289;36;13;33;241.476;92;1;1;2;1;0;1;90;172;30;11;FALSE
"56";"56";0;9;3;4;118;13;18;50;241.476;92;1;1;1;1;0;0;98;178;31;36;FALSE
"57";"57";18;9;4;4;225;26;9;28;241.476;92;0;1;1;0;0;2;69;169;24;28;FALSE
"58";"58";23;9;4;4;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"59";"59";0;9;4;4;369;17;12;31;241.476;92;1;1;3;1;0;0;70;169;25;13;FALSE
"60";"60";23;9;6;4;248;25;14;47;241.476;92;0;1;2;0;0;1;86;165;32;33;FALSE
"61";"61";23;9;6;4;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"62";"62";23;9;6;4;260;50;11;36;241.476;92;0;1;4;1;0;0;65;168;23;20;FALSE
"63";"63";23;10;3;4;179;51;18;38;253.465;93;0;1;0;1;0;0;89;170;31;3;FALSE
"65";"65";0;10;4;4;118;13;18;50;253.465;93;1;1;1;1;0;0;98;178;31;36;FALSE
"66";"66";23;10;5;4;179;26;9;30;253.465;93;0;3;0;0;0;0;56;171;19;22;FALSE
"67";"67";23;10;6;4;179;51;18;38;253.465;93;0;1;0;1;0;0;89;170;31;3;FALSE
"68";"68";23;10;6;4;225;26;9;28;253.465;93;0;1;1;0;0;2;69;169;24;28;FALSE
"69";"69";23;10;3;4;118;10;10;37;253.465;93;0;1;0;0;0;0;83;172;28;34;FALSE
"70";"70";23;10;4;4;225;26;9;28;253.465;93;0;1;1;0;0;2;69;169;24;28;FALSE
"71";"71";23;10;4;4;248;25;14;47;253.465;93;0;1;2;0;0;1;86;165;32;33;FALSE
"75";"75";19;10;5;4;260;50;11;36;253.465;93;0;1;4;1;0;0;65;168;23;20;TRUE
"76";"76";14;10;3;4;291;31;12;40;253.465;93;0;1;1;1;0;1;73;171;25;15;TRUE
"77";"77";28;10;3;4;225;26;9;28;253.465;93;0;1;1;0;0;2;69;169;24;28;FALSE
"78";"78";26;10;4;4;289;36;13;33;253.465;93;0;1;2;1;0;1;90;172;30;11;TRUE
"79";"79";23;10;6;4;361;52;3;28;253.465;93;0;1;1;1;0;4;80;172;27;10;FALSE
"80";"80";28;10;6;4;260;50;11;36;253.465;93;0;1;4;1;0;0;65;168;23;20;FALSE
"81";"81";23;11;5;4;179;51;18;38;306.345;93;0;1;0;1;0;0;89;170;31;3;FALSE
"83";"83";13;11;5;4;179;51;18;38;306.345;93;0;1;0;1;0;0;89;170;31;3;TRUE
"84";"84";21;11;5;4;179;22;17;40;306.345;93;0;2;2;0;1;0;63;170;22;17;TRUE
"85";"85";23;11;5;4;291;31;12;40;306.345;93;0;1;1;1;0;1;73;171;25;15;FALSE
"86";"86";10;11;2;4;155;12;14;34;306.345;93;0;1;2;1;0;0;95;196;25;14;TRUE
"87";"87";22;11;2;4;189;29;13;33;306.345;93;0;1;2;0;0;2;69;167;25;6;TRUE
"88";"88";14;11;2;4;291;31;12;40;306.345;93;0;1;1;1;0;1;73;171;25;15;TRUE
"89";"89";23;11;4;4;225;26;9;28;306.345;93;0;1;1;0;0;2;69;169;24;28;FALSE
"90";"90";6;11;6;4;155;12;14;34;306.345;93;0;1;2;1;0;0;95;196;25;14;TRUE
"91";"91";23;11;4;4;225;26;9;28;306.345;93;0;1;1;0;0;2;69;169;24;28;FALSE
"92";"92";21;11;4;4;179;22;17;40;306.345;93;0;2;2;0;1;0;63;170;22;17;TRUE
"93";"93";13;11;6;4;225;26;9;28;306.345;93;0;1;1;0;0;2;69;169;24;28;FALSE
"94";"94";28;11;6;4;260;50;11;36;306.345;93;0;1;4;1;0;0;65;168;23;20;FALSE
"96";"96";28;11;3;4;225;26;9;28;306.345;93;0;1;1;0;0;2;69;169;24;28;FALSE
"98";"98";23;11;5;4;291;31;12;40;306.345;93;0;1;1;1;0;1;73;171;25;15;FALSE
"99";"99";23;12;3;4;248;25;14;47;261.306;97;0;1;2;0;0;1;86;165;32;33;FALSE
"100";"100";19;12;3;4;118;10;10;37;261.306;97;0;1;0;0;0;0;83;172;28;34;TRUE
"101";"101";23;12;4;4;118;13;18;50;261.306;97;0;1;1;1;0;0;98;178;31;36;FALSE
"103";"103";23;12;5;4;225;26;9;28;261.306;97;0;1;1;0;0;2;69;169;24;28;FALSE
"106";"106";22;12;4;4;361;52;3;28;261.306;97;0;1;1;1;0;4;80;172;27;10;TRUE
"107";"107";28;12;5;4;225;26;9;28;261.306;97;0;1;1;0;0;2;69;169;24;28;FALSE
"109";"109";23;12;3;4;225;26;9;28;261.306;97;0;1;1;0;0;2;69;169;24;28;FALSE
"110";"110";22;12;4;4;361;52;3;28;261.306;97;0;1;1;1;0;4;80;172;27;10;TRUE
"111";"111";27;12;6;4;118;10;10;37;261.306;97;0;1;0;0;0;0;83;172;28;34;FALSE
"112";"112";19;12;6;2;246;25;16;41;261.306;97;0;1;0;1;0;0;67;170;23;24;TRUE
"113";"113";23;12;6;2;225;26;9;28;261.306;97;0;1;1;0;0;2;69;169;24;28;FALSE
"114";"114";23;1;4;2;225;26;9;28;308.593;95;0;1;1;0;0;2;69;169;24;28;FALSE
"116";"116";27;1;3;2;118;10;10;37;308.593;95;0;1;0;0;0;0;83;172;28;34;FALSE
"117";"117";18;1;3;2;155;12;14;34;308.593;95;0;1;2;1;0;0;95;196;25;14;TRUE
"118";"118";27;1;4;2;225;26;9;28;308.593;95;0;1;1;0;0;2;69;169;24;28;FALSE
"121";"121";27;1;6;2;225;26;9;28;308.593;95;0;1;1;0;0;2;69;169;24;28;FALSE
"123";"123";27;1;3;2;225;26;9;28;308.593;95;0;1;1;0;0;2;69;169;24;28;FALSE
"124";"124";27;1;3;2;118;10;10;37;308.593;95;0;1;0;0;0;0;83;172;28;34;FALSE
"126";"126";27;1;5;2;118;10;10;37;308.593;95;0;1;0;0;0;0;83;172;28;34;FALSE
"127";"127";27;1;6;2;118;10;10;37;308.593;95;0;1;0;0;0;0;83;172;28;34;FALSE
"128";"128";27;1;2;2;118;10;10;37;308.593;95;0;1;0;0;0;0;83;172;28;34;FALSE
"129";"129";27;1;3;2;118;10;10;37;308.593;95;0;1;0;0;0;0;83;172;28;34;FALSE
"130";"130";18;1;3;2;179;26;9;30;308.593;95;0;3;0;0;0;0;56;171;19;22;TRUE
"131";"131";18;1;3;2;289;36;13;33;308.593;95;0;1;2;1;0;1;90;172;30;11;TRUE
"137";"137";22;1;5;2;289;36;13;33;308.593;95;0;1;2;1;0;1;90;172;30;11;FALSE
"138";"138";23;2;6;2;184;42;7;27;302.585;99;0;1;0;0;0;0;58;167;21;27;FALSE
"139";"139";1;2;4;2;246;25;16;41;302.585;99;0;1;0;1;0;0;67;170;23;24;TRUE
"140";"140";11;2;4;2;179;51;18;38;302.585;99;0;1;0;1;0;0;89;170;31;3;TRUE
"141";"141";28;2;5;2;155;12;14;34;302.585;99;0;1;2;1;0;0;95;196;25;14;FALSE
"143";"143";28;2;6;2;260;50;11;36;302.585;99;0;1;4;1;0;0;65;168;23;20;FALSE
"144";"144";22;2;6;2;289;36;13;33;302.585;99;0;1;2;1;0;1;90;172;30;11;TRUE
"145";"145";11;2;2;2;388;15;9;50;302.585;99;0;1;0;0;0;0;76;178;24;31;TRUE
"146";"146";1;2;3;2;388;15;9;50;302.585;99;0;1;0;0;0;0;76;178;24;31;TRUE
"147";"147";28;2;2;2;225;26;9;28;302.585;99;0;1;1;0;0;2;69;169;24;28;FALSE
"148";"148";23;2;3;2;225;26;9;28;302.585;99;0;1;1;0;0;2;69;169;24;28;FALSE
"149";"149";23;2;3;2;179;26;9;30;302.585;99;0;3;0;0;0;0;56;171;19;22;FALSE
"150";"150";23;2;3;2;184;42;7;27;302.585;99;0;1;0;0;0;0;58;167;21;27;TRUE
"151";"151";25;2;5;2;225;26;9;28;302.585;99;0;1;1;0;0;2;69;169;24;28;FALSE
"152";"152";18;2;2;2;330;16;4;28;302.585;99;0;2;0;0;0;0;84;182;25;18;TRUE
"153";"153";23;2;3;2;330;16;4;28;302.585;99;0;2;0;0;0;0;84;182;25;18;FALSE
"154";"154";23;2;4;2;225;26;9;28;302.585;99;0;1;1;0;0;2;69;169;24;28;FALSE
"155";"155";19;2;5;2;189;29;13;33;302.585;99;0;1;2;0;0;2;69;167;25;6;TRUE
"156";"156";28;3;3;2;291;50;12;32;343.253;95;0;1;0;1;0;0;65;169;23;19;FALSE
"157";"157";19;3;3;2;260;50;11;36;343.253;95;0;1;4;1;0;0;65;168;23;20;TRUE
"158";"158";19;3;3;2;157;27;6;29;343.253;95;0;1;0;1;1;0;75;185;22;30;FALSE
"159";"159";17;3;3;2;179;22;17;40;343.253;95;0;2;2;0;1;0;63;170;22;17;TRUE
"160";"160";22;3;4;2;291;31;12;40;343.253;95;0;1;1;1;0;1;73;171;25;15;TRUE
"161";"161";13;3;4;2;260;50;11;36;343.253;95;0;1;4;1;0;0;65;168;23;20;TRUE
"162";"162";13;3;5;2;179;26;9;30;343.253;95;0;3;0;0;0;0;56;171;19;22;TRUE
"163";"163";14;3;6;2;248;25;14;47;343.253;95;0;1;2;0;0;1;86;165;32;33;FALSE
"165";"165";11;3;2;2;179;22;17;40;343.253;95;0;2;2;0;1;0;63;170;22;17;TRUE
"166";"166";1;3;2;2;155;12;14;34;343.253;95;0;1;2;1;0;0;95;196;25;14;TRUE
"167";"167";26;3;2;2;260;50;11;36;343.253;95;0;1;4;1;0;0;65;168;23;20;TRUE
"168";"168";13;3;3;2;155;12;14;34;343.253;95;0;1;2;1;0;0;95;196;25;14;TRUE
"169";"169";6;3;5;2;289;36;13;33;343.253;95;0;1;2;1;0;1;90;172;30;11;TRUE
"170";"170";8;3;5;2;179;22;17;40;343.253;95;0;2;2;0;1;0;63;170;22;17;TRUE
"171";"171";28;3;6;2;260;50;11;36;343.253;95;0;1;4;1;0;0;65;168;23;20;FALSE
"172";"172";23;3;6;2;225;26;9;28;343.253;95;0;1;1;0;0;2;69;169;24;28;FALSE
"174";"174";13;3;3;2;179;51;18;38;343.253;95;0;1;0;1;0;0;89;170;31;3;TRUE
"175";"175";23;3;4;2;225;26;9;28;343.253;95;0;1;1;0;0;2;69;169;24;28;FALSE
"178";"178";11;3;3;3;225;26;9;28;343.253;95;0;1;1;0;0;2;69;169;24;28;TRUE
"179";"179";11;3;4;3;225;26;9;28;343.253;95;0;1;1;0;0;2;69;169;24;28;TRUE
"181";"181";14;3;5;3;279;5;14;39;343.253;95;0;1;2;1;1;0;68;168;24;7;TRUE
"183";"183";14;3;6;3;248;25;14;47;343.253;95;0;1;2;0;0;1;86;165;32;33;FALSE
"184";"184";28;3;2;3;225;26;9;28;343.253;95;0;1;1;0;0;2;69;169;24;28;FALSE
"185";"185";28;4;4;3;291;31;12;40;326.452;96;0;1;1;1;0;1;73;171;25;15;FALSE
"186";"186";23;4;4;3;225;26;9;28;326.452;96;0;1;1;0;0;2;69;169;24;28;FALSE
"188";"188";13;4;4;3;246;25;16;41;326.452;96;0;1;0;1;0;0;67;170;23;24;TRUE
"189";"189";23;4;5;3;155;12;14;34;326.452;96;0;1;2;1;0;0;95;196;25;14;FALSE
"190";"190";28;4;6;3;225;26;9;28;326.452;96;0;1;1;0;0;2;69;169;24;28;FALSE
"191";"191";28;4;6;3;260;50;11;36;326.452;96;0;1;4;1;0;0;65;168;23;20;FALSE
"192";"192";13;4;4;3;179;51;18;38;326.452;96;0;1;0;1;0;0;89;170;31;3;TRUE
"193";"193";23;4;5;3;118;13;18;50;326.452;96;0;1;1;1;0;0;98;178;31;36;FALSE
"194";"194";23;4;6;3;291;31;12;40;326.452;96;0;1;1;1;0;1;73;171;25;15;FALSE
"195";"195";14;4;6;3;246;25;16;41;326.452;96;0;1;0;1;0;0;67;170;23;24;TRUE
"196";"196";28;4;6;3;291;31;12;40;326.452;96;0;1;1;1;0;1;73;171;25;15;FALSE
"197";"197";28;4;6;3;248;25;14;47;326.452;96;0;1;2;0;0;1;86;165;32;33;TRUE
"198";"198";19;4;6;3;260;50;11;36;326.452;96;0;1;4;1;0;0;65;168;23;20;TRUE
"200";"200";12;4;4;3;155;12;14;34;326.452;96;0;1;2;1;0;0;95;196;25;14;TRUE
"201";"201";19;4;4;3;378;49;11;36;326.452;96;0;1;2;0;1;4;65;174;21;23;TRUE
"202";"202";13;4;5;3;289;36;13;33;326.452;96;0;1;2;1;0;1;90;172;30;11;TRUE
"203";"203";7;4;6;3;235;11;14;37;326.452;96;0;3;1;0;0;1;88;172;29;1;FALSE
"204";"204";0;4;2;3;235;29;12;48;326.452;96;1;1;1;0;1;5;88;163;33;2;FALSE
"205";"205";13;5;4;3;289;36;13;33;378.884;92;0;1;2;1;0;1;90;172;30;11;TRUE
"206";"206";28;5;5;3;155;12;14;34;378.884;92;0;1;2;1;0;0;95;196;25;14;FALSE
"209";"209";19;5;3;3;225;26;9;28;378.884;92;0;1;1;0;0;2;69;169;24;28;TRUE
"210";"210";7;5;4;3;184;42;7;27;378.884;92;0;1;0;0;0;0;58;167;21;27;FALSE
"211";"211";28;5;2;3;155;12;14;34;378.884;92;0;1;2;1;0;0;95;196;25;14;FALSE
"212";"212";12;5;3;3;179;51;18;38;378.884;92;0;1;0;1;0;0;89;170;31;3;FALSE
"214";"214";0;5;4;3;279;5;14;39;378.884;92;1;1;2;1;1;0;68;168;24;7;FALSE
"215";"215";0;5;4;3;330;16;4;28;378.884;92;1;2;0;0;0;0;84;182;25;18;FALSE
"216";"216";0;5;4;3;378;49;11;36;378.884;92;1;1;2;0;1;4;65;174;21;23;FALSE
"217";"217";0;5;4;3;388;15;9;50;378.884;92;1;1;0;0;0;0;76;178;24;31;FALSE
"219";"219";13;5;4;3;118;13;18;50;378.884;92;0;1;1;1;0;0;98;178;31;36;TRUE
"220";"220";22;5;6;3;361;52;3;28;378.884;92;0;1;1;1;0;4;80;172;27;10;TRUE
"221";"221";19;6;2;3;246;25;16;41;377.55;94;0;1;0;1;0;0;67;170;23;24;TRUE
"222";"222";22;6;2;3;361;52;3;28;377.55;94;0;1;1;1;0;4;80;172;27;10;TRUE
"223";"223";10;6;3;3;246;25;16;41;377.55;94;0;1;0;1;0;0;67;170;23;24;TRUE
"224";"224";23;6;5;3;291;31;12;40;377.55;94;0;1;1;1;0;1;73;171;25;15;FALSE
"225";"225";10;6;6;3;246;25;16;41;377.55;94;0;1;0;1;0;0;67;170;23;24;TRUE
"226";"226";11;6;2;3;179;51;18;38;377.55;94;0;1;0;1;0;0;89;170;31;3;TRUE
"228";"228";10;6;2;3;246;25;16;41;377.55;94;0;1;0;1;0;0;67;170;23;24;TRUE
"229";"229";13;6;4;3;118;13;18;50;377.55;94;0;1;1;1;0;0;98;178;31;36;TRUE
"230";"230";13;6;6;3;235;11;14;37;377.55;94;0;3;1;0;0;1;88;172;29;1;TRUE
"231";"231";23;6;3;3;118;13;18;50;377.55;94;0;1;1;1;0;0;98;178;31;36;FALSE
"232";"232";13;6;4;3;118;13;18;50;377.55;94;0;1;1;1;0;0;98;178;31;36;TRUE
"233";"233";22;6;5;3;378;49;11;36;377.55;94;0;1;2;0;1;4;65;174;21;23;TRUE
"234";"234";11;6;6;3;179;51;18;38;377.55;94;0;1;0;1;0;0;89;170;31;3;FALSE
"235";"235";28;6;2;1;289;48;29;49;377.55;94;0;1;0;0;0;2;108;172;36;32;FALSE
"236";"236";28;6;5;1;225;26;9;28;377.55;94;0;1;1;0;0;2;69;169;24;28;FALSE
"239";"239";5;7;6;1;118;10;10;37;275.312;98;0;1;0;0;0;0;83;172;28;34;TRUE
"240";"240";26;7;6;1;118;10;10;37;275.312;98;0;1;0;0;0;0;83;172;28;34;FALSE
"242";"242";18;7;5;1;179;26;9;30;275.312;98;0;3;0;0;0;0;56;171;19;22;TRUE
"243";"243";25;7;6;1;155;12;14;34;275.312;98;0;1;2;1;0;0;95;196;25;14;FALSE
"244";"244";1;7;2;1;330;16;4;28;275.312;98;0;2;0;0;0;0;84;182;25;18;TRUE
"246";"246";25;7;2;1;157;27;6;29;275.312;98;0;1;0;1;1;0;75;185;22;30;FALSE
"247";"247";22;7;3;1;361;52;3;28;275.312;98;0;1;1;1;0;4;80;172;27;10;TRUE
